Symbol
AAPL
MSFT
AMZN
FB
GOOGL
GOOG
TSLA
BRK.B
JPM
JNJ
NVDA
V
UNH
HD
DIS
MA
PG
PYPL
BAC
INTC
CMCSA
ADBE
NFLX
VZ
XOM
CSCO
ABT
PFE
T
CRM
KO
PEP
CVX
MRK
AVGO
WMT
TMO
ABBV
ACN
WFC
TXN
MCD
NKE
MDT
COST
HON
NEE
QCOM
DHR
LOW
LIN
C
LLY
UNP
AMGN
BMY
ORCL
PM
SBUX
BA
UPS
CAT
AMAT
DE
IBM
RTX
MS
GS
GE
BLK
MMM
INTU
AMT
NOW
TGT
BKNG
MU
CVS
AMD
AXP
MO
SCHW
LMT
ISRG
FIS
ANTM
LRCX
CHTR
SPGI
CI
SYK
TJX
GILD
PLD
MDLZ
ADP
ZTS
USB
TFC
TMUS
CCI
DUK
PNC
BDX
CSX
ATVI
CME
GM
CB
FISV
EL
FDX
COP
SO
CL
NSC
ICE
ADSK
MMC
SHW
ITW
GPN
APD
D
EQIX
COF
ADI
ILMN
BSX
PGR
VRTX
ETN
HUM
TWTR
FCX
EW
ECL
EMR
NXPI
AON
NOC
DG
REGN
WM
NEM
HCA
MCO
KLAC
DOW
F
MET
KMB
ROST
IDXX
EXC
JCI
ROP
TEL
AEP
BAX
ALGN
LHX
CMG
CTSH
GD
MCHP
HPQ
EBAY
SRE
DD
PH
IQV
BIIB
EOG
SYY
CDNS
APH
A
TT
DLR
AIG
STZ
PSA
EA
TROW
SNPS
PPG
MAR
TRV
PRU
CMI
MSCI
INFO
DXCM
SPG
WBA
APTV
CNC
GIS
ORLY
XEL
BK
ALL
LUV
SLB
MNST
ALXN
CARR
ZBH
HLT
IFF
YUM
CTVA
MPC
GLW
PSX
AFL
TDG
ADM
AZO
SWK
PCAR
ANSS
KMI
PEG
DHI
MSI
XLNX
WELL
SBAC
FRC
DFS
PAYX
SWKS
WLTW
CTAS
ROK
ES
MCK
AME
WEC
PXD
VRSK
RMD
MTD
BLL
DAL
VLO
WY
LEN
AWK
AMP
FAST
OTIS
WMB
STT
KR
FTNT
LYB
BBY
DLTR
CBRE
ZBRA
ETSY
VFC
DTE
FITB
KEYS
SIVB
ED
KHC
AVB
AJG
CDW
CPRT
LH
MXIM
O
EQR
FTV
FLT
ODFL
CLX
EXPE
NUE
URI
HIG
HSY
KSU
VMC
EIX
EFX
TSN
WST
VIAC
CERN
OKE
IP
SYF
PPL
ARE
NTRS
MKC
RSG
MLM
QRVO
TER
CCL
CHD
ETR
KMX
WDC
TSCO
GRMN
AEE
GNRC
VTR
VRSN
HPE
TTWO
TRMB
OXY
RF
MKTX
DOV
TFX
KEY
LVS
MTB
HOLX
COO
XYL
PAYC
CZR
FE
AES
DRI
CFG
ENPH
HES
EXPD
ESS
IR
RCL
AMCR
WAT
ULTA
EXR
NDAQ
CMS
HAL
CAG
CTLT
TYL
BR
CE
CAH
PEAK
GWW
UAL
STE
ALB
ABC
J
DGX
ANET
GPC
NTAP
AKAM
CTXS
MAA
NVR
OMC
IT
IEX
DRE
MAS
MGM
AVY
STX
HBAN
VTRS
K
MPWR
PFG
CINF
RJF
TDY
LB
EMN
INCY
POOL
DPZ
ABMD
BXP
PKI
PENN
WHR
FMC
BKR
WRK
SJM
PHM
JBHT
EVRG
XRAY
WAB
FBHS
LNT
FANG
BF.B
AAL
LDOS
BIO
CHRW
WYNN
UDR
PKG
TXT
PWR
CNP
HRL
DVN
TPR
FFIV
ATO
SNA
HWM
AAP
FOXA
NLOK
LUMN
HAS
LKQ
L
HST
JKHY
MHK
ALLE
IPG
LW
BWA
LNC
LYV
MOS
UHS
CBOE
WRB
IRM
WU
PNR
RE
NWSA
NCLH
HSIC
CF
NWL
CPB
TAP
IVZ
GL
NI
CMA
PNW
NRG
DISH
REG
RHI
DISCK
ZION
NLSN
AOS
AIZ
ALK
JNPR
KIM
HII
MRO
BEN
DVA
DXC
IPGP
ROL
FLIR
PBCT
PVH
SEE
FRT
HBI
VNO
GPS
APA
COG
LEG
RL
DISCA
UNM
FOX
PRGO
HFC
NOV
UAA
UA
NWS
