Symbol
AAPL
MSFT
AMZN
TSLA
GOOG
FB
GOOGL
NVDA
PYPL
INTC
CMCSA
ADBE
NFLX
CSCO
PEP
AVGO
TXN
TMUS
COST
QCOM
AMGN
SBUX
CHTR
AMAT
INTU
BKNG
MU
AMD
ISRG
LRCX
FISV
MDLZ
GILD
ADP
MELI
ZM
CSX
ATVI
MRNA
JD
ADSK
ILMN
ADI
VRTX
BIDU
NXPI
REGN
MNST
KDP
KHC
KLAC
ASML
MAR
ALGN
WBA
PDD
WDAY
ROST
IDXX
EXC
AEP
EBAY
CTSH
DOCU
MCHP
BIIB
LULU
EA
CDNS
MTCH
SNPS
XEL
DXCM
ORLY
ALXN
CTAS
PAYX
PCAR
OKTA
NTES
ANSS
MRVL
XLNX
SWKS
TEAM
VRSK
FAST
CPRT
PTON
DLTR
SGEN
SIRI
CDW
MXIM
VRSN
CERN
SPLK
TCOM
INCY
CHKP
FOXA
FOX
QQQ
